dataset_id,dataset_name,dataset_revision,image_size,batch_size,num_workers,epochs,lr,weight_decay,seed,device,use_amp,use_aug,train_fraction,loss,split,model_name,auc,acc,f1,cm00,cm01,cm10,cm11
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,8,0,15,0.0003,0.0001,0,cpu,True,True,1.0,ce,test,baseline_random_dist,0.482577251808021,0.5048076923076923,0.5749656121045392,106,128,181,209
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,8,0,15,0.0003,0.0001,0,cpu,True,True,1.0,ce,test,baseline_majority,0.5,0.375,0.0,234,0,390,0
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,ce,test,baseline_random_dist,0.482577251808021,0.5048076923076923,0.5749656121045392,106,128,181,209
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,ce,test,baseline_majority,0.5,0.375,0.0,234,0,390,0
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,ce,valid,resnet18_ce_aug1,0.9981150946299432,0.950191570881226,0.9653333333333334,134,0,26,362
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,focal,test,baseline_random_dist,0.482577251808021,0.5048076923076923,0.5749656121045392,106,128,181,209
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,focal,test,baseline_majority,0.5,0.375,0.0,234,0,390,0
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,ce,valid,resnet18_ce_aug1,0.9960378519772272,0.9386973180076628,0.9571045576407506,133,1,31,357
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,focal,valid,resnet18_focal_aug1,0.9985190029235268,0.9827586206896552,0.9883268482490272,132,2,7,381
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,ce,valid,resnet18_ce_aug1,0.9987305739344516,0.978927203065134,0.9859514687100894,125,9,2,386
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,focal,valid,resnet18_focal_aug1,0.9985959378365904,0.9674329501915708,0.9776609724047306,133,1,16,372
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,ce,valid,resnet18_ce_aug1,0.9995191567933528,0.9731800766283524,0.9816272965879264,134,0,14,374
hf-vision/chest-xray-pneumonia,,refs/convert/parquet,224,64,4,10,0.0003,0.0001,0,cuda,True,True,1.0,focal,valid,resnet18_focal_aug1,0.9990960147715033,0.9923371647509579,0.9948320413436692,133,1,3,385
